,ID,Latitude,Longitude,SOx,CO2,NOx,Height,Diam,Velocity,Temp,PM2.5 pop exposure due to NOx ems,PM2.5 pop exposure due to SOx ems,Total PM2.5 pop exposure
1005," ""6768-1""",36.8791,-89.6209,6351.207,2246389.165,2272.44,137.16,4.572,85.344,258.3555556,35441.01563,205508.4531,240949.4688
1006," ""6772-1""",34.0158,-95.3206,9362.82,3200062.963,3677.882,152.4,7.9248,79.248,281.5316667,70731.89844,276063.6563,346795.5547
1007," ""6823-W1""",37.4497,-87.0803,9306.498,3758818.5,5772.615,182.88,10.3632,38.7096,269.2055556,105950.4922,305487.8125,411438.3047
1008," ""7030-U1""",31.0932,-96.6965,2451.071,1276339.094,910.08,103.632,3.81,108.204,303.7055556,19788.93945,82160.94531,101949.8848
1009," ""7030-U2""",31.0932,-96.6965,2620.906,1479028.628,1092.441,103.632,3.81,108.204,303.7055556,23754.22852,87853.88281,111608.1113
1010," ""7097-**1""",29.3091,-98.3205,3273.828,4517291.975,3787.812,160.02,7.9248,83.82,288.7055556,60752.73828,122769.2891,183522.0273
1011," ""7210-COP1""",33.3642,-81.03,2603.458,3587190.857,4550.93,160.02,7.0104,46.0248,282.5944444,83923.47656,73760.20313,157683.6797
1012," ""7213-1""",36.8692,-78.7046,890.136,3807255.075,4886.077,135.9408,6.76656,37.1856,281.5111111,104327.4766,25686.84375,130014.3203
1013," ""7213-2""",36.8692,-78.7046,964.276,3861682.875,5149.016,135.9408,6.7818,37.1856,281.5111111,109941.75,27826.32031,137768.0703
1014," ""7253-1""",39.3672,-81.5208,5261.287,371522.781,665.364, NA, NA, NA, NA,11306.20898,159903.3594,171209.5684
1015," ""7253-2""",39.3672,-81.5208,5780.582,410778.156,732.066, NA, NA, NA, NA,12439.64356,175685.9844,188125.6279
1016," ""7253-3""",39.3672,-81.5208,4599.464,331393.569,593.771, NA, NA, NA, NA,10089.66309,139788.9531,149878.6162
1017," ""7253-4""",39.3672,-81.5208,4841.321,346111.92,644.508, NA, NA, NA, NA,10951.8125,147139.5625,158091.375
1018," ""7343-4""",42.3022,-96.3622,16440.188,4673885.625,4747.625,142.9512,7.8486,54.864,301.9453638,132706.1406,494411.0938,627117.2344
1019," ""7504-1""",44.2853,-105.3841,633.047,941673.751,815.221, NA, NA, NA, NA,10249.63477,14827.9209,25077.55566
1020," ""7537-1A""",39.2623,-79.3306,472.614,396859.978,657.335, NA, NA, NA, NA,13350.95117,13748.97852,27099.92969
1021," ""7537-1B""",39.2623,-79.3306,394.403,330615.472,551.26, NA, NA, NA, NA,11196.49121,11473.71582,22670.20703
1022," ""7737-B001""",32.8994,-79.9694,0,0,747.041, NA, NA, NA, NA,9107.339844,0,9107.339844
1023," ""7790-1-Jan""",40.0864,-109.2844,864.16,4470333.3,7348.052, NA, NA, NA, NA,38392.03125,19465.43359,57857.46484
1024," ""7902-1""",32.4607,-94.4852,2641.427,5275794.025,4191.022,160.02,7.62,45.72,302.5944444,67110.03125,76472.40625,143582.4375
1025," ""8023-1""",43.4864,-89.4203,10616.271,3777989.45,2698.524,10.0584,0.2999232,33.528,255.4277778,93168.74219,364953.2188,458121.9609
1026," ""8023-2""",43.4864,-89.4203,11779.675,4134263.9,2447.496,10.0584,0.2999232,33.528,255.4277778,84501.80469,404947.3125,489449.1172
1027," ""8042-1""",36.2811,-80.0603,47023.833,6959968.956,10965.075,152.4,11.1252,36.576,285.9277778,225984.3438,1367454,1593438.344
1028," ""8042-2""",36.2811,-80.0603,48266.335,7074759.693,10214.424,152.4,11.1252,36.576,285.9277778,210513.8281,1403586,1614099.828
1029," ""8066-BW71""",41.7378,-108.7875,5062.04,3659766.189,7479.951,152.4,7.3152,34.7472,297.0388889,51546.26172,120824.2656,172370.5273
1030," ""8066-BW72""",41.7378,-108.7875,5734.401,4276947.928,4531.388,152.4,7.3152,34.7472,297.0388889,31226.95508,136872.6406,168099.5957
1031," ""8066-BW73""",41.7378,-108.7875,5950.321,4002075.883,8073.127,152.4,7.3152,34.7472,297.0388889,55633.98438,142026.3594,197660.3438
